	1	2	3	4	5	6	7	8	9
612	5	7	0	19	2	18	0	0	0
613	18	4	4	1	2	0	0	3	0
614	9	1	2	6	6	3	0	0	0
615	9	6	1	9	0	9	0	0	0
616	8	3	1	1	0	0	0	1	0
617	5	9	0	0	0	0	2	12	0
618	6	1	5	0	0	0	3	0	0
619	12	0	1	1	8	0	0	0	4
620	3	0	4	0	0	0	0	0	0
621	9	10	4	0	0	0	6	0	0
622	16	1	4	2	3	0	0	0	3
623	22	0	2	0	0	1	0	3	6
624	9	15	0	1	0	3	0	11	0
625	6	19	8	0	2	0	0	11	0
626	7	9	6	14	0	9	0	0	0
627	6	1	2	0	0	0	2	0	0
628	8	15	3	0	6	0	0	1	0
629	7	0	1	10	0	9	0	0	0
630	7	5	0	0	8	0	0	0	0
631	15	2	2	2	2	0	0	0	2
632	16	0	0	0	0	0	0	1	3
633	12	3	2	0	0	1	3	0	0
634	13	0	2	0	0	0	2	3	1
635	10	23	0	3	0	0	0	8	0
636	4	9	17	2	0	0	0	0	0
637	10	3	0	9	13	0	0	0	0
638	8	11	2	4	0	0	0	9	0
639	9	9	4	0	0	0	0	9	0
640	14	0	0	0	0	0	0	1	1
641	2	13	1	0	0	1	0	7	0
642	8	0	1	0	0	0	0	1	4
643	9	0	2	1	2	0	0	0	1
644	3	9	0	0	0	0	1	13	0
645	6	16	0	0	0	1	0	6	0
646	10	1	4	5	2	7	0	0	0
647	12	4	6	0	0	2	0	0	0
648	19	2	2	0	0	4	0	0	4
649	8	19	0	0	0	0	10	8	0
650	26	8	1	0	1	0	0	10	0
651	5	1	0	2	23	0	0	0	0
652	5	0	1	2	3	0	0	0	0
653	9	3	3	0	15	0	0	0	0
654	14	7	1	1	0	0	0	0	10
655	10	5	0	1	0	0	0	0	0
656	13	5	0	0	0	1	0	1	1
657	3	7	7	0	1	0	0	0	0
658	11	0	10	0	0	0	0	0	0
659	6	6	3	0	10	0	0	0	0
660	16	3	0	3	1	0	0	0	5
661	14	8	0	2	0	0	0	4	0
662	15	1	6	0	0	0	2	0	0
663	15	3	14	0	0	4	7	0	0
664	16	5	2	2	0	0	5	0	12
665	15	16	0	0	1	0	3	3	0
666	8	20	1	0	0	1	0	15	0
667	10	1	0	0	0	0	0	4	0
668	12	5	3	0	5	0	0	0	0
669	6	7	5	0	0	2	0	0	0
670	8	4	2	1	0	0	4	0	0
671	12	8	0	1	3	0	3	2	0
672	5	10	1	1	0	0	0	12	0
673	8	5	4	0	4	0	4	0	0
674	5	2	2	1	0	0	0	0	0
675	4	8	3	0	7	0	0	0	0
676	6	7	0	0	0	3	0	0	0
677	19	0	2	4	10	0	0	0	0
678	7	1	3	0	0	0	0	0	0
679	17	8	7	4	3	0	0	5	0
680	7	1	8	0	0	0	4	0	0
681	8	4	0	1	3	0	0	0	0
682	12	3	10	0	0	5	0	0	0
683	6	4	0	0	0	0	0	0	0
684	17	4	0	0	0	0	0	4	0
685	14	10	5	5	1	0	0	0	9
686	12	7	0	2	0	0	0	3	0
687	3	7	0	3	0	0	0	1	0
688	12	3	3	17	0	24	0	0	0
689	9	1	0	0	0	0	0	1	0
690	14	5	3	2	0	0	0	0	9
691	10	1	1	0	0	0	0	0	9
692	27	2	0	3	0	0	0	0	4
693	11	0	0	0	0	0	0	1	0
694	3	8	6	0	10	0	0	0	0
